seed,top_n,avg_egfr,avg_her2,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-9.108333333333334,-9.679166666666667,0.5578958333333334,4.81664375,0.8385747842085328,44,0.9166666666666666
seed123,96,-8.708333333333334,-9.228124999999999,0.550915625,4.692684375,0.8531161784974728,84,0.875
seed123,384,-7.046614583333334,-7.752864583333333,0.5743622395833333,4.39593125,0.8771637813448837,304,0.7916666666666666
seed333,48,-9.214583333333334,-9.847916666666668,0.523725,4.752345833333334,0.8393502656706496,39,0.8125
seed333,96,-8.801041666666668,-9.308333333333332,0.5555666666666667,4.7015135416666665,0.8536143927489571,82,0.8541666666666666
seed333,384,-7.101822916666666,-7.868489583333333,0.5738268229166666,4.381666927083333,0.877001747424579,308,0.8020833333333334
seed42,48,-9.387500000000001,-10.039583333333333,0.5478500000000001,4.846245833333334,0.8041781908655319,41,0.8541666666666666
seed42,96,-9.039583333333333,-9.507291666666667,0.5640875,4.72718125,0.8409452182281355,73,0.7604166666666666
seed42,384,-8.037760416666666,-8.569270833333334,0.5858416666666667,4.5000328125,0.866062224495437,268,0.6979166666666666
seed999,48,-9.341666666666667,-9.831249999999999,0.5325145833333332,4.8047208333333336,0.8262190888016685,46,0.9583333333333334
seed999,96,-8.873958333333333,-9.255208333333334,0.550771875,4.704894791666667,0.854611526619024,87,0.90625
seed999,384,-7.19453125,-7.782552083333333,0.5893192708333334,4.3790484375,0.8767131802485989,302,0.7864583333333334
