seed,top_n,avg_egfr,avg_her2,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-8.189583333333333,-8.547916666666667,0.6325208333333333,3.546875,0.8438846193332239,48,1.0
seed123,96,-7.9593750000000005,-8.268749999999999,0.6804520833333333,3.8645833333333335,0.8484954713194449,96,1.0
seed123,384,-7.213281249999999,-7.388020833333333,0.7623908854166667,4.20703125,0.8590661663401667,351,0.9140625
seed333,48,-8.164583333333333,-8.606250000000001,0.6097416666666667,3.171875,0.8496885573793524,48,1.0
seed333,96,-7.865624999999999,-8.247916666666667,0.6211791666666667,3.2890625,0.8637926823421949,96,1.0
seed333,384,-6.961458333333333,-7.144791666666666,0.7289203125,3.7467447916666665,0.8727471083032406,379,0.9869791666666666
seed42,48,-8.229166666666666,-8.470833333333333,0.6282791666666667,3.453125,0.843252434742545,48,1.0
seed42,96,-7.853125000000001,-8.101041666666667,0.6671208333333333,3.4557291666666665,0.852407709985102,96,1.0
seed42,384,-6.946354166666668,-7.100781250000001,0.7479606770833334,4.020833333333333,0.8657669324620854,362,0.9427083333333334
seed999,48,-8.258333333333333,-8.739583333333334,0.5862020833333333,3.4375,0.8384323355667522,48,1.0
seed999,96,-7.998958333333333,-8.385416666666666,0.6483885416666667,3.5729166666666665,0.843186532952419,96,1.0
seed999,384,-7.13671875,-7.3382812500000005,0.72350390625,3.8815104166666665,0.8612841186946223,348,0.90625
