seed,top_n,avg_docking,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-9.489583333333334,0.5803541666666666,3.8799791666666668,0.8721844543974256,48,1.0
seed123,96,-9.178125,0.6461979166666666,3.8625000000000003,0.8720688971990623,96,1.0
seed123,384,-8.41171875,0.70984375,3.8483828125,0.8718099650115542,370,0.9635416666666666
seed333,48,-9.4875,0.5810624999999999,3.9517916666666664,0.8618519346861669,48,1.0
seed333,96,-9.20625,0.63534375,3.8796041666666667,0.8625620009807464,96,1.0
seed333,384,-8.438020833333333,0.7013229166666667,3.8288854166666666,0.8682276695303466,377,0.9817708333333334
seed42,48,-9.443750000000001,0.6397708333333333,3.7662083333333336,0.851672446123491,48,1.0
seed42,96,-9.175,0.6409895833333333,3.7871770833333334,0.8619767563432317,94,0.9791666666666666
seed42,384,-8.377604166666666,0.7163828125,3.775,0.8691203099483408,371,0.9661458333333334
seed999,48,-9.545833333333334,0.6119374999999999,3.7738124999999996,0.8607579314828693,48,1.0
seed999,96,-9.198958333333334,0.6292604166666668,3.7899895833333326,0.8634644445611747,95,0.9895833333333334
seed999,384,-8.419270833333334,0.7099348958333334,3.8384947916666667,0.8694564993769878,375,0.9765625
