seed,top_n,avg_egfr,avg_her2,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-5.89875,-8.060833333333333,0.7670666666666666,0.0,0.8762611963581723,47,0.9791666666666666
seed123,96,-5.8644791666666665,-8.007604166666667,0.7534385416666668,0.0,0.8776446403098268,90,0.9375
seed123,384,-5.884479166666668,-8.09265625,0.7347911458333334,0.0,0.8786595708790215,364,0.9479166666666666
seed333,48,-5.897500000000001,-8.064375,0.70136875,0.0,0.8689672387634712,45,0.9375
seed333,96,-5.920208333333334,-8.188541666666666,0.7230812499999999,0.0,0.8744014701502715,92,0.9583333333333334
seed333,384,-5.8910156250000005,-8.100286458333333,0.7163820312499999,0.0,0.8814533865926761,354,0.921875
seed42,48,-5.832916666666667,-7.9004166666666675,0.7039562500000001,0.0,0.8866586295278105,46,0.9583333333333334
seed42,96,-5.865520833333332,-7.987708333333333,0.7267802083333333,0.0,0.8822143376302017,92,0.9583333333333334
seed42,384,-5.865234375,-8.051614583333333,0.7393223958333334,0.0,0.877273378457207,354,0.921875
seed999,48,-5.889583333333333,-8.188125,0.7423458333333333,0.0,0.8796582378091161,47,0.9791666666666666
seed999,96,-5.871875,-8.113958333333334,0.7221989583333333,0.0,0.8814038699587812,94,0.9791666666666666
seed999,384,-5.852057291666665,-8.0609375,0.7258450520833333,0.0,0.8814140036340261,349,0.9088541666666666
