Tue Aug 25 15:22:14 2026,8,0.21704777760455252,348.6669957637787,82.6003044449666,0.8470807279258663,0.8470807279258663,
Tue Aug 25 15:32:12 2026,11,0.21710736934300923,946.4686324596405,41.839738414879406,0.8693920292149425,0.8693920292149425,
Tue Aug 25 15:34:38 2026,13,0.21717836414436803,1092.2176446914673,42.84860277387315,0.8715158000490831,0.8715158000490831,
Tue Aug 25 15:37:20 2026,17,0.21761807275827494,1254.0435538291931,48.80213275936646,0.8734742478973465,0.8734742478973465,
Tue Aug 25 15:41:44 2026,18,0.21761807275827494,1518.2777650356293,42.67993742138438,0.8773430041577529,0.8773430041577529,
Tue Aug 25 15:46:30 2026,18,0.21761807275827494,1804.644203901291,35.90735495668064,0.8773430041577529,0.8773430041577529,
Tue Aug 25 15:51:53 2026,20,0.21763697265737522,2127.088740825653,33.849081431389834,0.8802464666997564,0.8802464666997564,
Tue Aug 25 15:53:17 2026,24,0.21786538669098382,2211.4822063446045,39.06881988565126,0.8778648377797014,0.8778648377797014,
Tue Aug 25 15:55:58 2026,27,0.21819090634232063,2372.168448448181,40.97516770513748,0.876063556928882,0.876063556928882,
Tue Aug 25 15:59:21 2026,29,0.21827342647337866,2574.9683532714844,40.54418760811578,0.8797603661168446,0.8797603661168446,
Tue Aug 25 16:02:02 2026,32,0.21885529456041478,2736.6799762248993,42.09480136545308,0.8805176639658788,0.8805176639658788,
Tue Aug 25 16:06:04 2026,34,0.21885594734947822,2977.8519439697266,41.10345386642377,0.882738095968065,0.882738095968065,
Tue Aug 25 16:23:39 2026,35,0.21886258386862636,4033.4207928180695,31.238992029881004,0.8823994228608552,0.8823994228608552,
Tue Aug 25 16:33:20 2026,37,0.2188707010383839,4613.9491312503815,28.868978874915072,0.8811669310651185,0.8811669310651185,
Tue Aug 25 16:41:19 2026,38,0.2188707044711916,5092.834413528442,26.861269951484946,0.8812812034009647,0.8812812034009647,
Tue Aug 25 16:43:19 2026,40,0.21887711833248868,5213.191138267517,27.62223677988048,0.8829729379509225,0.8829729379509225,
Tue Aug 25 16:45:15 2026,41,0.2188780033673791,5329.520017623901,27.694801691692604,0.8842291148745302,0.8842291148745302,
Tue Aug 25 16:47:13 2026,44,0.2188788013315946,5447.140001535416,29.079480232810415,0.8857806128700227,0.8857806128700227,
Tue Aug 25 16:48:51 2026,44,0.2188788013315946,5545.2987844944,28.564736753754982,0.8857806128700227,0.8857806128700227,
Tue Aug 25 16:50:13 2026,45,0.21887957310510617,5627.407198190689,28.787680417384024,0.8841005171777485,0.8841005171777485,
Tue Aug 25 16:52:23 2026,46,0.21888004088817592,5757.041460037231,28.76477460680456,0.8841285991490442,0.8841285991490442,
Tue Aug 25 16:54:03 2026,47,0.2188811651692903,5857.410190582275,28.88648643252695,0.8838160144175089,0.8838160144175089,
Tue Aug 25 16:55:55 2026,49,0.21890867044556808,5969.206188201904,29.551668084217532,0.8834246062086019,0.8834246062086019,
