iteration,timestamp,num_pareto,num_history,Nov_P_mean,Nov_H_mean,Rep_mean,IER_mean,pareto_pool_size,active_history_size
355,1787667503.537459,111,617,0.000000,0.000000,0.000000,0.000000,111,617
360,1787667590.7996783,112,623,0.000000,0.000000,0.000000,0.000000,112,623
365,1787667675.0062423,113,629,0.000000,0.000000,0.000000,0.000000,113,629
370,1787667805.3093138,114,636,0.000000,0.000000,0.000000,0.000000,114,636
375,1787667952.0435405,114,646,0.000000,0.000000,0.000000,0.000000,114,646
380,1787668074.6464696,114,653,0.000000,0.000000,0.000000,0.000000,114,653
385,1787668179.0678532,114,659,0.000000,0.000000,0.000000,0.000000,114,659
390,1787668273.775181,114,665,0.000000,0.000000,0.000000,0.000000,114,665
395,1787668383.5987391,114,671,0.000000,0.000000,0.000000,0.000000,114,671
400,1787668465.615563,115,676,0.000000,0.000000,0.000000,0.000000,115,677
405,1787668568.6500874,117,683,0.000000,0.000000,0.000000,0.000000,117,684
410,1787668687.0746288,117,690,0.000000,0.000000,0.000000,0.000000,117,691
415,1787668783.0809183,117,695,0.000000,0.000000,0.000000,0.000000,117,696
420,1787668914.9948308,117,703,0.000000,0.000000,0.000000,0.000000,117,704
425,1787669033.573691,117,712,0.000000,0.000000,0.000000,0.000000,117,713
430,1787669114.1342554,117,718,0.000000,0.000000,0.000000,0.000000,117,719
435,1787669248.7999773,118,726,0.000000,0.000000,0.000000,0.000000,118,727
440,1787669558.6935413,118,731,0.000000,0.000000,0.000000,0.000000,118,732
445,1787670017.1647155,118,742,0.000000,0.000000,0.000000,0.000000,118,743
450,1787670325.4756691,119,748,0.000000,0.000000,0.000000,0.000000,119,749
455,1787670689.659935,120,754,0.000000,0.000000,0.000000,0.000000,120,755
460,1787670886.446335,120,763,0.000000,0.000000,0.000000,0.000000,120,764
465,1787671245.0884619,121,772,0.000000,0.000000,0.000000,0.000000,121,773
470,1787671713.766739,123,781,0.000000,0.000000,0.000000,0.000000,123,782
475,1787672006.09818,124,790,0.000000,0.000000,0.000000,0.000000,124,791
480,1787672371.9945984,126,799,0.000000,0.000000,0.000000,0.000000,126,800
485,1787672706.9184773,126,808,0.000000,0.000000,0.000000,0.000000,126,809
490,1787673122.8709576,126,815,0.000000,0.000000,0.000000,0.000000,126,816
495,1787674064.5209775,127,828,0.000000,0.000000,0.000000,0.000000,127,829
500,1787674360.6410773,127,837,0.000000,0.000000,0.000000,0.000000,127,838
505,1787676587.9188108,127,844,0.000000,0.000000,0.000000,0.000000,127,845
510,1787677312.916628,128,851,0.000000,0.000000,0.000000,0.000000,128,852
515,1787677623.666806,129,863,0.000000,0.000000,0.000000,0.000000,129,864
520,1787678177.741741,131,872,0.000000,0.000000,0.000000,0.000000,131,873
525,1787678553.3120391,131,881,0.000000,0.000000,0.000000,0.000000,131,882
530,1787679533.378136,136,901,0.000000,0.000000,0.000000,0.000000,136,902
535,1787679960.492619,137,911,0.000000,0.000000,0.000000,0.000000,137,912
540,1787680527.2715368,138,921,0.000000,0.000000,0.000000,0.000000,138,922
545,1787681404.9201024,140,937,0.000000,0.000000,0.000000,0.000000,140,938
550,1787682183.979821,140,946,0.000000,0.000000,0.000000,0.000000,140,947
555,1787683042.5202765,142,958,0.000000,0.000000,0.000000,0.000000,142,959
