Tue Aug 25 15:55:58 2026 | 高活性分子: 27 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:57:59 2026 | 高活性分子: 28 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:58:14 2026 | 高活性分子: 29 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:58:33 2026 | 高活性分子: 29 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:59:06 2026 | 高活性分子: 29 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:59:21 2026 | 高活性分子: 29 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 15:59:49 2026 | 高活性分子: 29 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 16:00:21 2026 | 高活性分子: 30 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 16:00:41 2026 | 高活性分子: 31 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 16:01:28 2026 | 高活性分子: 31 | 悬崖分子: 0 | 平均高活性分数: 0.612 | 平均悬崖分数: 0.000
Tue Aug 25 16:02:02 2026 | 高活性分子: 32 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:02:44 2026 | 高活性分子: 32 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:03:44 2026 | 高活性分子: 34 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:04:21 2026 | 高活性分子: 34 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:05:05 2026 | 高活性分子: 34 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:06:04 2026 | 高活性分子: 34 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:06:15 2026 | 高活性分子: 34 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:22:03 2026 | 高活性分子: 34 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:22:42 2026 | 高活性分子: 34 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:23:01 2026 | 高活性分子: 35 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:23:39 2026 | 高活性分子: 35 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:31:16 2026 | 高活性分子: 35 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:31:52 2026 | 高活性分子: 35 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:32:28 2026 | 高活性分子: 35 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:32:44 2026 | 高活性分子: 36 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:33:20 2026 | 高活性分子: 37 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:40:02 2026 | 高活性分子: 37 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:40:17 2026 | 高活性分子: 37 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:40:35 2026 | 高活性分子: 37 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:41:05 2026 | 高活性分子: 37 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:41:19 2026 | 高活性分子: 38 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:41:50 2026 | 高活性分子: 38 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:42:03 2026 | 高活性分子: 38 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:42:22 2026 | 高活性分子: 38 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:42:50 2026 | 高活性分子: 39 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:43:19 2026 | 高活性分子: 40 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:43:40 2026 | 高活性分子: 41 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:43:54 2026 | 高活性分子: 41 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:44:16 2026 | 高活性分子: 41 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:44:39 2026 | 高活性分子: 41 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:45:15 2026 | 高活性分子: 41 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:45:28 2026 | 高活性分子: 41 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:46:02 2026 | 高活性分子: 42 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:46:24 2026 | 高活性分子: 43 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:46:54 2026 | 高活性分子: 43 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:47:13 2026 | 高活性分子: 44 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:47:26 2026 | 高活性分子: 44 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:48:00 2026 | 高活性分子: 44 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:48:21 2026 | 高活性分子: 44 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:48:32 2026 | 高活性分子: 44 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:48:51 2026 | 高活性分子: 44 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:49:06 2026 | 高活性分子: 44 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:49:24 2026 | 高活性分子: 44 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:49:39 2026 | 高活性分子: 45 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:50:01 2026 | 高活性分子: 45 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:50:13 2026 | 高活性分子: 45 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:50:42 2026 | 高活性分子: 46 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:51:20 2026 | 高活性分子: 46 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:51:33 2026 | 高活性分子: 46 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:52:05 2026 | 高活性分子: 46 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:52:23 2026 | 高活性分子: 46 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:52:44 2026 | 高活性分子: 46 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:53:16 2026 | 高活性分子: 46 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:53:29 2026 | 高活性分子: 46 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:53:40 2026 | 高活性分子: 46 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:54:03 2026 | 高活性分子: 47 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:54:30 2026 | 高活性分子: 47 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:55:02 2026 | 高活性分子: 48 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:55:16 2026 | 高活性分子: 49 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:55:36 2026 | 高活性分子: 49 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:55:55 2026 | 高活性分子: 49 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:56:22 2026 | 高活性分子: 49 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:57:04 2026 | 高活性分子: 50 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:57:20 2026 | 高活性分子: 50 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:57:37 2026 | 高活性分子: 50 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:57:53 2026 | 高活性分子: 50 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:58:30 2026 | 高活性分子: 51 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:59:05 2026 | 高活性分子: 51 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 16:59:26 2026 | 高活性分子: 51 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
Tue Aug 25 17:00:12 2026 | 高活性分子: 51 | 悬崖分子: 0 | 平均高活性分数: 0.611 | 平均悬崖分数: 0.000
