seed,top_n,avg_docking,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-10.275,0.601325,5.09,0.8454300862736535,48,1.0
seed123,96,-10.063541666666667,0.6122677083333333,5.052376041666666,0.8477697222452679,96,1.0
seed123,384,-9.60546875,0.6480890625,4.858436197916666,0.8527727814186574,383,0.9973958333333334
seed333,48,-10.464583333333335,0.6109187500000001,4.96118125,0.8557925502326577,48,1.0
seed333,96,-10.230208333333335,0.630109375,4.94535,0.8547390345605023,96,1.0
seed333,384,-9.77265625,0.6440179687500001,4.919126041666667,0.8517750328780802,383,0.9973958333333334
seed42,48,-10.28125,0.6051875000000001,5.11015,0.8516097418210123,48,1.0
seed42,96,-10.076041666666667,0.6096385416666666,4.996494791666666,0.849939220671785,96,1.0
seed42,384,-9.629947916666667,0.6429442708333334,4.900428906249999,0.8512903236952649,384,1.0
seed999,48,-10.3125,0.60608125,5.02580625,0.8510696015314582,48,1.0
seed999,96,-10.098958333333334,0.6221979166666668,4.952664583333333,0.8504894887647442,96,1.0
seed999,384,-9.619010416666667,0.6475989583333334,4.857482291666667,0.8528572960751377,382,0.9947916666666666
