seed,top_n,avg_egfr,avg_her2,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-9.547916666666666,-11.104166666666666,0.6043124999999999,3.079099078500187,0.8695173508293106,48,1.0
seed123,96,-9.289583333333333,-10.823958333333332,0.6619791666666667,3.172139022483126,0.8723634527220274,96,1.0
seed123,384,-8.671614583333334,-10.0796875,0.7220911458333333,3.155674279052531,0.8769415578453043,379,0.9869791666666666
seed333,48,-9.65,-11.154166666666669,0.6505,3.0462378876987954,0.8630489285047204,48,1.0
seed333,96,-9.377083333333333,-10.862499999999999,0.6678749999999999,3.0255283945037306,0.8671405430193488,96,1.0
seed333,384,-8.707291666666666,-10.194270833333334,0.7284557291666666,3.063139610173696,0.873213790165215,384,1.0
seed42,48,-9.545833333333333,-11.177083333333334,0.6491250000000001,3.1733752970066234,0.8705443031700535,48,1.0
seed42,96,-9.276041666666666,-10.954166666666667,0.6752395833333334,3.15987259340566,0.8740516158042481,96,1.0
seed42,384,-8.724479166666667,-10.230208333333334,0.7363515624999999,3.229397975401492,0.8769842652813137,383,0.9973958333333334
seed999,48,-9.439583333333333,-11.147916666666667,0.6593541666666667,3.076891208286255,0.8599382613460587,48,1.0
seed999,96,-9.275,-10.81875,0.6764270833333333,3.085403866904811,0.8624691974513874,96,1.0
seed999,384,-8.6890625,-10.158072916666667,0.75296875,3.1441984502621687,0.8657256243200763,381,0.9921875
