seed,top_n,avg_docking,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-9.61875,0.668625,3.1415583333333337,0.8697051032309171,48,1.0
seed123,96,-9.369791666666666,0.69940625,3.1098427083333333,0.8717513562394007,96,1.0
seed123,384,-8.718229166666667,0.7682942708333332,3.1235893229166667,0.8722699022500076,380,0.9895833333333334
seed333,48,-9.791666666666666,0.6451041666666667,3.350335416666667,0.8756147263109463,48,1.0
seed333,96,-9.516666666666666,0.7150104166666668,3.2808177083333327,0.8705612072571803,96,1.0
seed333,384,-8.828645833333333,0.7702760416666666,3.2492276041666663,0.8724221120115548,382,0.9947916666666666
seed42,48,-9.443750000000001,0.6917708333333333,3.2891104166666665,0.869023901757938,48,1.0
seed42,96,-9.139583333333334,0.7158958333333333,3.261691666666666,0.8714800470302334,96,1.0
seed42,384,-8.340885416666667,0.7770989583333332,3.2865765625,0.8792352855966376,381,0.9921875
seed999,48,-9.795833333333334,0.6642708333333333,3.2767395833333333,0.8696842389531871,48,1.0
seed999,96,-9.490625,0.66734375,3.2143270833333335,0.8725238822825004,96,1.0
seed999,384,-8.80859375,0.7324739583333333,3.2192815104166663,0.8757630474494931,381,0.9921875
