seed,top_n,avg_docking,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-9.164583333333333,0.6466875000000001,4.725908333333334,0.8173585623116396,48,1.0
seed123,96,-8.997916666666667,0.6573833333333333,4.5531322916666666,0.8161618921000863,93,0.96875
seed123,384,-8.30625,0.7207729166666667,3.9274854166666664,0.8238548082170098,335,0.8723958333333334
seed333,48,-9.450000000000001,0.6653625,4.666864583333333,0.7951537172558608,48,1.0
seed333,96,-9.236458333333333,0.6781781250000001,4.574271875,0.797340400243386,94,0.9791666666666666
seed333,384,-8.68671875,0.7164151041666668,4.187593229166667,0.8119621409315891,353,0.9192708333333334
seed42,48,-9.200000000000001,0.6632333333333332,4.711083333333334,0.7923827675520158,48,1.0
seed42,96,-9.003124999999999,0.6907375,4.454748958333333,0.7996141445952878,95,0.9895833333333334
seed42,384,-8.345052083333334,0.7359526041666666,3.9246854166666663,0.8172859237077114,353,0.9192708333333334
seed999,48,-9.514583333333333,0.6314562499999999,4.807489583333333,0.8081028034312016,48,1.0
seed999,96,-9.295833333333333,0.6572937500000001,4.5811697916666665,0.811536720628833,95,0.9895833333333334
seed999,384,-8.671093749999999,0.7086609375,4.125123958333334,0.8172686008353232,361,0.9401041666666666
