chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL3403372,CCn1c(NC(C)C)nc2c(C3CCN(C(=O)c4ccccn4)C3)csc2c1=O,IC50,3000.0,nM,5.52,-9.8
CHEMBL3403373,CCn1c(NC(C)C)nc2c(C3CCN(C(=O)c4ncccc4C)C3)csc2c1=O,IC50,3100.0,nM,5.51,-9.9
CHEMBL3403346,CCn1c(NC(C)C)nc2c(C3CCN(C(=O)c4cccc(C)n4)C3)csc2c1=O,IC50,2300.0,nM,5.64,-9.6
CHEMBL3741950,COc1cc(Br)cc2c1nc(C)c1c(C)nc(-c3cccnc3F)n12,IC50,606.0,nM,6.22,-8.3
CHEMBL3742354,COc1cc(-c2cccnc2)cc2c1nc(C)c1c(C)nc(-c3cccnc3)n12,IC50,232.0,nM,6.63,-8.8
CHEMBL3741781,COc1cc(-c2ccc(F)nc2)cc2c1nc(C)c1c(C)nc(-c3ccncc3)n12,IC50,201.0,nM,6.7,-9.0
CHEMBL3739783,COc1cc(-c2ccc(F)nc2)cc2c1nc(C)c1c(C)nc(-c3cccnc3)n12,IC50,279.0,nM,6.55,-9.2
CHEMBL3741207,COc1cc(-c2ccncc2)cc2c1nc(C)c1c(C)nc(-c3ccc(F)nc3)n12,IC50,195.0,nM,6.71,-9.2
CHEMBL3741492,COc1cc(-c2cccnc2)cc2c1nc(C)c1c(C)nc(-c3ccc(F)nc3)n12,IC50,228.0,nM,6.64,-9.3
CHEMBL3741573,COc1cc(-c2cccnc2)cc2c1nc(C)c1c(C)nc(-c3cccnc3F)n12,IC50,91.6,nM,7.04,-9.2
CHEMBL3770107,CN1C(=O)c2c(nn(Cc3ccc(C(F)(F)F)nc3)c2Nc2ccccc2)N2C1=N[C@@H]1CCC[C@@H]12,Ki,1200.0,nM,5.92,-7.0
CHEMBL3769461,CN1C(=O)c2c(nn(Cc3ccc(C(F)(F)F)cc3)c2Nc2ccccc2)N2C1=N[C@@H]1CCC[C@@H]12,Ki,590.0,nM,6.23,-7.5
CHEMBL3769817,CN1C(=O)c2c(nn(Cc3ccc(-c4ccccn4)cc3)c2Nc2ccccc2)N2C1=N[C@@H]1CCC[C@@H]12,Ki,600.0,nM,6.22,-8.8
CHEMBL3770899,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)Nc2ncccn2)cc1Cl,IC50,5.2,nM,8.28,-9.2
CHEMBL3897643,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(NCCC(=O)NO)ccc3OCC)nc12,IC50,44.0,nM,7.36,-9.6
CHEMBL3898715,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(NC4CCC(C(=O)NO)CC4)ccc3OCC)nc12,IC50,22.0,nM,7.66,-10.5
CHEMBL3950140,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(N4CCC(CC(=O)NO)CC4)ccc3OCC)nc12,IC50,65.0,nM,7.19,-10.0
CHEMBL3962991,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(N4CCC(CCC(=O)NO)CC4)ccc3OCC)nc12,IC50,24.0,nM,7.62,-10.0
CHEMBL3945565,CCOc1ccc(OC2CCC(C(=O)NO)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,11.0,nM,7.96,-10.9
CHEMBL3974954,CCOc1ccc(Oc2ccc(C(=O)NO)cc2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,23.0,nM,7.64,-10.8
CHEMBL3966438,CCOc1ccc(C(=O)NO)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,5.0,nM,8.3,-9.7
CHEMBL3927691,CCOc1ccc(CC(=O)NO)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,19.0,nM,7.72,-9.6
CHEMBL3955306,CCOc1ccc(CCC(=O)NO)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,46.0,nM,7.34,-10.1
CHEMBL3932796,CCOc1ccc(Cc2ccc(CCC(=O)NO)cc2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,13.0,nM,7.89,-11.9
CHEMBL3904785,CCOc1ccc(Cc2ccc(/C=C/C(=O)NO)cc2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,122.0,nM,6.91,-10.2
CHEMBL3890386,CCOc1ccc(CC2CCN(CCC(=O)NO)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,57.0,nM,7.24,-11.2
CHEMBL3976546,CCOc1ccc(CC2CCC(CC(=O)NO)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,38.0,nM,7.42,-11.9
CHEMBL3970271,CCOc1ccc(C[C@H]2CC[C@H](C(=O)NO)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,13.0,nM,7.89,-11.5
CHEMBL3940720,CCOc1ccc(C[C@H]2CC[C@@H](C(=O)NO)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,22.0,nM,7.66,-11.4
CHEMBL3944571,CCOc1ccc(CC2CCC(C(=O)NO)C2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,165.0,nM,6.78,-11.3
CHEMBL3900593,CCOc1ccc(CC2CC(C(=O)NO)C2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,60.0,nM,7.22,-10.7
CHEMBL3955253,CCOc1ccc(C[C@H]2C[C@@H](C(=O)NO)C2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,34.0,nM,7.47,-11.4
CHEMBL3982024,CCOc1ccc(C[C@H]2C[C@H](C(=O)NO)C2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,45.0,nM,7.35,-10.8
CHEMBL3962031,CCOc1ccc(CC2CC2C(=O)NO)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,39.0,nM,7.41,-10.8
CHEMBL3893017,CCOc1ccc(CN2CCC(C(=O)NO)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,207.0,nM,6.68,-10.6
CHEMBL3973027,CCOc1ccc(CN2CC(C(=O)NO)C2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,303.0,nM,6.52,-10.5
CHEMBL3901988,CCOc1ccc(C2CC(C(=O)NO)C2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,17.0,nM,7.77,-10.1
CHEMBL3908767,CCOc1ccc(C2CC2C(=O)NO)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,20.0,nM,7.7,-9.5
CHEMBL3936720,CCOc1ccc(C2CCC(CC(=O)NO)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,70.0,nM,7.16,-10.2
CHEMBL3984639,CCOc1ccc(-c2ccc(C(=O)NO)cn2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,4.0,nM,8.4,-10.3
CHEMBL3956031,CCOc1ccc(-c2ccc(C(=O)NO)nc2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,4.0,nM,8.4,-9.9
CHEMBL3895860,CCOc1ccc(-c2ccc(C(=O)NO)o2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,5.0,nM,8.3,-11.1
