chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL4217976,COc1ccc(CNc2ccnc3oc4ccc([N+](=O)[O-])cc4c23)cc1,Ki,2050.0,nM,5.69,-8.805
CHEMBL4204320,Nc1cccc(CNc2ccnc3oc4ccc([N+](=O)[O-])cc4c23)c1,Ki,3590.0,nM,5.45,-9.273
CHEMBL4211341,O=[N+]([O-])c1cccc(CNc2ccnc3oc4ccc([N+](=O)[O-])cc4c23)c1,Ki,930.0,nM,6.03,-9.276
CHEMBL4210187,COc1cccc(CNc2ccnc3oc4ccc(N)cc4c23)c1,Ki,170.0,nM,6.77,-8.709
CHEMBL4203339,Nc1ccc2oc3nccc(NCc4cccc(Cl)c4)c3c2c1,Ki,400.0,nM,6.4,-8.68
CHEMBL4213021,Nc1ccc2oc3nccc(NCc4cccc(Br)c4)c3c2c1,Ki,230.0,nM,6.64,-8.824
CHEMBL4206140,Nc1cccc(CNc2ccnc3oc4ccc(N)cc4c23)c1,Ki,940.0,nM,6.03,-8.903
CHEMBL4217440,COc1cccc(CNc2ccnc3[nH]c4ccc([N+](=O)[O-])cc4c23)c1,Ki,330.0,nM,6.48,-9.027
CHEMBL4207398,O=[N+]([O-])c1ccc2[nH]c3nccc(NCc4cccc(Cl)c4)c3c2c1,Ki,80.0,nM,7.1,-9.015
CHEMBL4214266,O=[N+]([O-])c1ccc2[nH]c3nccc(NCc4cccc(Br)c4)c3c2c1,Ki,110.0,nM,6.96,-8.984
CHEMBL4217693,COc1cccc(CNc2ccnc3[nH]c4ccc(N)cc4c23)c1,Ki,320.0,nM,6.5,-8.594
CHEMBL4209480,Nc1ccc2[nH]c3nccc(NCc4cccc(Cl)c4)c3c2c1,Ki,140.0,nM,6.85,-8.786
CHEMBL4214387,Nc1ccc2[nH]c3nccc(NCc4cccc(Br)c4)c3c2c1,Ki,110.0,nM,6.96,-8.721
CHEMBL4214496,O=C(NC(CO)Cc1ccccc1)c1cc2cc(Cl)ccc2[nH]1,IC50,800.0,nM,6.1,-8.308
CHEMBL4209588,Cc1c(C(=O)NC(CO)Cc2ccccc2)[nH]c2ccc(Cl)cc12,IC50,500.0,nM,6.3,-8.306
CHEMBL4207316,CCc1c(C(=O)NC(CO)Cc2ccccc2)[nH]c2ccc(C(F)(F)F)cc12,IC50,900.0,nM,6.05,-7.712
CHEMBL4208745,O=c1[nH]c(Cc2ccccc2)cn2c1cc1cc(Cl)ccc12,IC50,2400.0,nM,5.62,-9.018
CHEMBL4208224,Cc1c2cc(Cl)ccc2n2cc(Cc3ccccc3)[nH]c(=O)c12,IC50,1700.0,nM,5.77,-9.502
CHEMBL4213146,CCc1c2cc(C(F)(F)F)ccc2n2cc(Cc3ccccc3)[nH]c(=O)c12,IC50,3900.0,nM,5.41,-9.731
CHEMBL4207750,CCS(=O)(=O)Nc1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cnc1OC,IC50,2.4,nM,8.62,-10.036
CHEMBL4206585,CCS(=O)(=O)Nc1cc(-c2ccc3ncnc(Nc4cccc(C(=O)OC)c4)c3c2)cnc1OC,IC50,409.0,nM,6.39,-9.591
CHEMBL4209801,CN1CCN(c2ccc(Nc3cc4c(N5CCCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,IC50,2.3,nM,8.64,-9.796
CHEMBL4206716,CN1CCN(c2ccc(Nc3cc4c(N5CCCCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,IC50,1.1,nM,8.96,-9.979
