seed,top_n,avg_egfr,avg_her2,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-7.520833333333333,-6.883333333333333,0.47874583333333326,4.852083333333334,0.8748417135663168,41,0.8541666666666666
seed123,96,-7.215625,-6.585416666666666,0.5355395833333333,4.565625,0.8795648587444296,79,0.8229166666666666
seed123,384,-5.84453125,-5.503125,0.6455690104166667,2.985416666666667,0.8936333307264025,233,0.6067708333333334
seed333,48,-7.233333333333333,-6.577083333333333,0.5687520833333334,4.4125000000000005,0.8640614456530012,43,0.8958333333333334
seed333,96,-6.966666666666666,-6.366666666666667,0.5903791666666667,4.310416666666667,0.869918859363576,79,0.8229166666666666
seed333,384,-5.797135416666666,-5.468229166666667,0.6609541666666666,2.938541666666667,0.8868133628694581,212,0.5520833333333334
seed42,48,-8.143749999999999,-7.335416666666667,0.26195416666666665,4.902083333333334,0.8573167105171683,45,0.9375
seed42,96,-7.757291666666667,-6.921875,0.3431739583333333,4.802083333333333,0.8653014676682185,90,0.9375
seed42,384,-6.618489583333333,-6.142708333333334,0.533934375,4.055208333333334,0.8816777466969656,297,0.7734375
seed999,48,-7.366666666666666,-6.870833333333333,0.5174625,4.63125,0.8678012863510478,44,0.9166666666666666
seed999,96,-7.057291666666667,-6.6000000000000005,0.5575218750000001,4.476041666666667,0.8779158298768766,88,0.9166666666666666
seed999,384,-5.805468749999999,-5.529947916666667,0.6499635416666667,3.0296875,0.8915849403995748,244,0.6354166666666666
