seed,top_n,avg_egfr,avg_her2,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-9.208333333333334,-9.839583333333332,0.6466708333333333,4.975522916666667,0.8553925170829003,48,1.0
seed123,96,-8.928125,-9.558333333333332,0.673115625,4.9732843749999995,0.8589055909032525,96,1.0
seed123,384,-8.008593750000001,-8.377864583333333,0.7396005208333333,4.7133703125,0.8720109055088718,367,0.9557291666666666
seed333,48,-9.283333333333333,-9.987499999999999,0.6388583333333334,4.999185416666666,0.854076156615234,48,1.0
seed333,96,-8.972916666666668,-9.588541666666666,0.667821875,4.97181875,0.8564697269860851,96,1.0
seed333,384,-7.986197916666666,-8.34453125,0.7321395833333334,4.69695234375,0.8726533183951158,363,0.9453125
seed42,48,-9.206249999999999,-9.7875,0.6415020833333334,4.990329166666666,0.857389951181253,48,1.0
seed42,96,-8.905208333333333,-9.417708333333332,0.6659427083333332,4.92735,0.8626224191904018,96,1.0
seed42,384,-7.920833333333333,-8.273177083333334,0.7396677083333333,4.672130208333333,0.871635123229678,367,0.9557291666666666
seed999,48,-9.0875,-9.727083333333333,0.6191395833333333,4.963916666666667,0.8658534034571113,48,1.0
seed999,96,-8.844791666666667,-9.326041666666667,0.6571677083333333,4.943765625,0.8618529514064376,96,1.0
seed999,384,-7.897395833333334,-8.221875,0.7402984374999999,4.659708072916667,0.870203710366018,370,0.9635416666666666
