seed,top_n,avg_egfr,avg_her2,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-8.764583333333333,-8.972916666666666,0.6083125,3.7077083333333327,0.8809396818613868,47,0.9791666666666666
seed123,96,-8.845833333333333,-9.048958333333333,0.6266875000000001,3.7485208333333335,0.8775114974560434,92,0.9583333333333334
seed123,384,-8.749869791666667,-8.802604166666667,0.6229036458333334,3.8228098958333336,0.8804875645711173,335,0.8723958333333334
seed333,48,-8.841666666666667,-9.233333333333334,0.6269583333333334,3.6773333333333333,0.8715239225945578,47,0.9791666666666666
seed333,96,-8.753645833333334,-8.976041666666667,0.6294062500000001,3.5842916666666667,0.8786899309855822,92,0.9583333333333334
seed333,384,-8.772135416666666,-8.801302083333335,0.6115130208333334,3.8170286458333336,0.8823065029139134,338,0.8802083333333334
seed42,48,-8.695833333333333,-8.935416666666667,0.6336875000000001,3.60075,0.8714961270899034,46,0.9583333333333334
seed42,96,-8.803645833333333,-8.945833333333333,0.6244895833333334,3.5763125000000002,0.8799743014721512,91,0.9479166666666666
seed42,384,-8.872916666666667,-9.09140625,0.6424895833333334,3.7717994791666665,0.8754170636332521,365,0.9505208333333334
seed999,48,-8.886458333333332,-8.9625,0.6370208333333333,3.6144374999999997,0.8808861397116886,46,0.9583333333333334
seed999,96,-8.856770833333334,-8.947916666666666,0.6398333333333334,3.6751458333333336,0.8813554870795578,92,0.9583333333333334
seed999,384,-8.824479166666666,-8.979427083333333,0.6419713541666666,3.794010416666667,0.8769356977789454,349,0.9088541666666666
