seed,top_n,avg_docking,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-9.50625,0.6761895833333335,4.695783333333334,0.8511287615540877,47,0.9791666666666666
seed123,96,-9.165625,0.6678770833333334,4.769201041666666,0.8497911515610508,95,0.9895833333333334
seed123,384,-8.395052083333333,0.7464802083333333,4.119640885416666,0.8541691772558582,352,0.9166666666666666
seed333,48,-9.077083333333334,0.6637729166666667,4.958889583333334,0.8593584084815988,48,1.0
seed333,96,-8.722916666666668,0.6736729166666667,4.666191666666667,0.8637319866455743,96,1.0
seed333,384,-7.659635416666666,0.7648434895833333,3.6113265625000004,0.8707697580201702,342,0.890625
seed42,48,-9.122916666666667,0.69184375,4.64225625,0.8572881279163618,48,1.0
seed42,96,-8.772916666666667,0.70964375,4.401905208333333,0.8608774867006931,96,1.0
seed42,384,-7.871875,0.7596916666666668,3.7791411458333335,0.8716065369162947,361,0.9401041666666666
seed999,48,-9.297916666666666,0.6478375,5.036512500000001,0.8506522400658094,48,1.0
seed999,96,-8.961458333333333,0.68891875,4.641328125,0.8532314326965433,96,1.0
seed999,384,-8.102083333333333,0.7474989583333334,4.016581510416667,0.8662040548359715,361,0.9401041666666666
