seed,top_n,avg_egfr,avg_her2,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-8.958333333333334,-8.9625,0.48293749999999996,4.57740625,0.8915866161021572,48,1.0
seed123,96,-8.602083333333333,-8.616666666666667,0.4846375,4.546963541666667,0.8883283942803945,96,1.0
seed123,384,-7.569140625,-7.569401041666667,0.3885182291666667,4.83013671875,0.8893896337503291,379,0.9869791666666666
seed333,48,-9.15,-9.1625,0.5215708333333334,4.14214375,0.8812371354179177,48,1.0
seed333,96,-8.7346875,-8.748229166666667,0.4867635416666667,4.320034375,0.8863168458114212,96,1.0
seed333,384,-7.730807291666667,-7.735494791666665,0.40080234374999996,4.69478671875,0.8895700550456681,378,0.984375
seed42,48,-8.820833333333333,-8.802083333333334,0.4725291666666666,4.449466666666667,0.8896385735266334,48,1.0
seed42,96,-8.518749999999999,-8.523958333333333,0.47354583333333333,4.440284375,0.8897342237399698,96,1.0
seed42,384,-7.595416666666665,-7.601406249999999,0.4035244791666666,4.7811328125,0.8896052784005677,382,0.9947916666666666
seed999,48,-8.952083333333334,-8.927083333333334,0.4824458333333334,4.359639583333333,0.8855375915689387,48,1.0
seed999,96,-8.564583333333333,-8.556249999999999,0.44264583333333335,4.490841666666666,0.8873896545082814,96,1.0
seed999,384,-7.592161458333333,-7.5905989583333335,0.3813739583333333,4.79566171875,0.8882616103710529,375,0.9765625
