seed,top_n,avg_docking,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-7.048477916666666,0.19326889583333332,5.337629729166667,0.8650565541263717,43,0.8958333333333334
seed123,96,-6.634487791666665,0.21640022916666668,5.259730583333333,0.8722930558242439,88,0.9166666666666666
seed123,384,-5.645086549479166,0.3104785546875,5.015445838541667,0.8842578136576202,370,0.9635416666666666
seed333,48,-6.747754479166666,0.21222325,5.324380020833334,0.8730483545578803,45,0.9375
seed333,96,-6.441814249999999,0.24999679166666666,5.267461062500001,0.8738089242110091,93,0.96875
seed333,384,-5.512448744791667,0.33237166927083334,4.977003619791667,0.8851975829101952,367,0.9557291666666666
seed42,48,-6.9149277499999995,0.19213531250000002,5.502232125,0.8697462495684125,45,0.9375
seed42,96,-6.552562624999999,0.22308979166666668,5.3099886666666665,0.87609349692986,91,0.9479166666666666
seed42,384,-5.554478989583333,0.3172631796875,5.0117409869791665,0.8867525395033119,375,0.9765625
seed999,48,-6.952956770833334,0.1919983125,5.418650833333333,0.8716009248419947,41,0.8541666666666666
seed999,96,-6.568352083333333,0.22456302083333335,5.297571958333333,0.8737483815432335,87,0.90625
seed999,384,-5.629679848958332,0.31107920572916664,5.045992692708333,0.8845599997199484,370,0.9635416666666666
