seed,top_n,avg_docking,avg_qed,avg_sa,internal_diversity,scaffold_count,scaffold_coverage
seed123,48,-8.179166666666665,0.5758166666666666,5.0191687499999995,0.7087259868062747,13,0.2708333333333333
seed123,96,-7.756249999999999,0.6043562499999999,4.6258510416666665,0.7613596249016362,24,0.25
seed123,384,-5.699739583333333,0.5117950520833333,3.0581653645833335,0.8336621368570609,36,0.09375
seed333,48,-8.216666666666667,0.5628875,4.934983333333333,0.7715633030570198,20,0.4166666666666667
seed333,96,-7.852083333333333,0.5704927083333334,4.678491666666667,0.7748098035913896,26,0.2708333333333333
seed333,384,-6.2749999999999995,0.59208828125,3.531764322916667,0.8021311442629692,44,0.11458333333333333
seed42,48,-8.202083333333333,0.6232416666666667,4.959433333333333,0.7314004409630541,21,0.4375
seed42,96,-7.732291666666666,0.664428125,4.461077083333333,0.7602630114750165,29,0.3020833333333333
seed42,384,-5.845052083333333,0.60564921875,3.1005528645833333,0.8242032197532675,44,0.11458333333333333
seed999,48,-7.6187499999999995,0.5856354166666666,4.96063125,0.7771163599471168,22,0.4583333333333333
seed999,96,-7.192708333333333,0.615290625,4.533758333333334,0.777985706191022,29,0.3020833333333333
seed999,384,-5.5421875,0.5865880208333333,3.1431203125000002,0.8138314658080102,46,0.11979166666666667
